Date,Minutes,Direction
2020-04-30,30 Min,Incoming
2020-04-30,1 Min,Outgoing
2020-04-30,33 Min,Outgoing
2020-04-30,1 Min,Outgoing
2020-04-29,54 Min,Outgoing
2020-04-29,16 Min,Incoming
2020-04-29,15 Min,Incoming
2020-04-28,25 Min,Incoming
2020-04-28,51 Min,Incoming
2020-04-28,1 Min,Outgoing
2020-04-27,65 Min,Incoming
2020-04-27,1 Min,Outgoing
2020-04-27,1 Min,Outgoing
2020-04-27,25 Min,Incoming
2020-04-27,38 Min,Incoming
2020-04-26,26 Min,Incoming
2020-04-26,1 Min,Outgoing
2020-04-25,103 Min,Incoming
2020-04-24,89 Min,Incoming
2020-04-23,80 Min,Incoming
2020-04-22,97 Min,Outgoing
2020-04-22,44 Min,Outgoing
2020-04-21,77 Min,Incoming
2020-04-21,13 Min,Incoming
2020-04-21,13 Min,Incoming
2020-04-20,3 Min,Incoming
2020-04-20,77 Min,Incoming
2020-04-19,81 Min,Incoming
2020-04-18,74 Min,Incoming
2020-04-18,21 Min,Incoming
2020-04-17,71 Min,Outgoing
2020-04-16,3 Min,Incoming
2020-04-16,14 Min,Incoming
2020-04-16,7 Min,Incoming
2020-04-16,1 Min,Outgoing
2020-04-15,51 Min,Incoming
2020-04-15,1 Min,Outgoing
2020-04-15,7 Min,Incoming
2020-04-14,64 Min,Outgoing
2020-04-14,16 Min,Incoming
2020-04-13,101 Min,Incoming
2020-04-12,108 Min,Outgoing
2020-04-11,25 Min,Incoming
2020-04-11,46 Min,Outgoing
2020-04-10,69 Min,Incoming
2020-04-10,32 Min,Incoming
2020-04-09,63 Min,Incoming
2020-04-09,19 Min,Incoming
2020-04-08,84 Min,Outgoing
2020-04-07,78 Min,Incoming
2020-04-06,72 Min,Incoming
2020-04-06,14 Min,Outgoing
2020-04-05,51 Min,Incoming
2020-04-04,24 Min,Outgoing
2020-04-03,63 Min,Outgoing
2020-04-02,83 Min,Incoming
2020-04-01,85 Min,Incoming
2020-04-01,15 Min,Incoming
2020-03-31,128 Min,Incoming
2020-03-30,62 Min,Outgoing
2020-03-30,1 Min,Incoming
2020-03-29,42 Min,Outgoing
2020-03-29,72 Min,Incoming
2020-03-29,4 Min,Incoming
2020-03-28,111 Min,Incoming
2020-03-28,13 Min,Incoming
2020-03-26,49 Min,Incoming
2020-03-26,33 Min,Incoming
2020-03-25,29 Min,Incoming
2020-03-25,22 Min,Incoming
2020-03-24,78 Min,Incoming
2020-03-24,10 Min,Outgoing
2020-03-23,78 Min,Incoming
2020-03-22,55 Min,Incoming
2020-03-22,51 Min,Incoming
2020-03-22,37 Min,Incoming
2020-03-22,1 Min,Outgoing
2020-03-22,1 Min,Outgoing
2020-03-21,39 Min,Incoming
2020-03-21,14 Min,Incoming
2020-03-21,8 Min,Outgoing
2020-03-20,58 Min,Outgoing
2020-03-20,1 Min,Incoming
2020-03-20,14 Min,Outgoing
2020-03-19,48 Min,Outgoing
2020-03-19,55 Min,Outgoing
2020-03-18,22 Min,Incoming
2020-03-18,27 Min,Outgoing
2020-03-16,2 Min,Outgoing
2020-03-13,2 Min,Incoming
2020-03-09,5 Min,Outgoing
2020-03-02,3 Min,Incoming
2020-03-02,2 Min,Outgoing
2020-02-27,10 Min,Incoming
2020-02-27,2 Min,Outgoing
2020-02-23,36 Min,Outgoing
2020-02-09,1 Min,Outgoing
2020-02-09,26 Min,Outgoing
2020-02-06,2 Min,Incoming
2020-01-30,6 Min,Outgoing
2020-01-25,6 Min,Outgoing
2020-01-22,1 Min,Incoming
2020-01-21,3 Min,Incoming
2020-01-12,6 Min,Outgoing
2020-01-12,19 Min,Incoming
2020-01-12,1 Min,Outgoing
2020-01-11,23 Min,Incoming
2020-01-11,2 Min,Incoming
2020-01-09,1 Min,Incoming
2020-01-09,2 Min,Incoming
2020-01-07,2 Min,Incoming
2020-01-07,1 Min,Incoming
2020-01-07,1 Min,Incoming
2020-01-01,5 Min,Incoming
